,,,,,,,,,,
"Kleine speltakken Zaterdag",,,,,,,,,,
,,,,,,,,,,
,,"Radio","Jota","TV","Joti","Klimtoren","Veld","Bos",,
15/10/11 9:30,15/10/11 10:00,"Opening",,,,,,,9:30,10:00
15/10/11 10:00,15/10/11 10:20,"1+2","5+6","3+4","7+8+9+10+11+12","25 + 26 + 27 + 28 + 29 + 30 ","31 + 32 + 33 + 34 + 35 + 36","13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24",10:00,10:20
15/10/11 10:20,15/10/11 10:40,"3+4","1+2","5+6","7+8+9+10+11+12","25 + 26 + 27 + 28 + 29 + 30 ","31 + 32 + 33 + 34 + 35 + 36","13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24",10:20,10:40
15/10/11 10:40,15/10/11 11:00,"5+6","3+4","1+2","7+8+9+10+11+12","25 + 26 + 27 + 28 + 29 + 30 ","31 + 32 + 33 + 34 + 35 + 36","13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24",10:40,11:00
15/10/11 11:00,15/10/11 11:20,"7+8","11+12","9+10","1+2+3+4+5+6","31 + 32 + 33 + 34 + 35 + 36","25 + 26 + 27 + 28 + 29 + 30 ","13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24",11:00,11:20
15/10/11 11:20,15/10/11 11:40,"9+10","7+8","11+12","1+2+3+4+5+6","31 + 32 + 33 + 34 + 35 + 36","25 + 26 + 27 + 28 + 29 + 30 ","13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24",11:20,11:40
15/10/11 11:40,15/10/11 12:00,"11+12","9+10","7+8","1+2+3+4+5+6","31 + 32 + 33 + 34 + 35 + 36","25 + 26 + 27 + 28 + 29 + 30 ","13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24",11:40,12:00
15/10/11 12:00,15/10/11 12:40,"Lunch",,,,,,,12:00,12:40
15/10/11 12:40,15/10/11 13:00,"13+14","17+18","15+16","19+20+21+22+23+24","1 + 2 + 3 + 4 + 5 + 6","7 + 8 + 9 + 10 + 11 + 12","25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36",12:40,13:00
15/10/11 13:00,15/10/11 13:20,"15+16","13+14","17+18","19+20+21+22+23+24","1 + 2 + 3 + 4 + 5 + 6","7 + 8 + 9 + 10 + 11 + 12","25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36",13:00,13:20
15/10/11 13:20,15/10/11 13:40,"17+18","15+16","13+14","19+20+21+22+23+24","1 + 2 + 3 + 4 + 5 + 6","7 + 8 + 9 + 10 + 11 + 12","25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36",13:20,13:40
15/10/11 13:40,15/10/11 14:00,"19+20","23+24","21+22","13+14+15+16+17+18","7 + 8 + 9 + 10 + 11 + 12","1 + 2 + 3 + 4 + 5 + 6","25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36",13:40,14:00
15/10/11 14:00,15/10/11 14:20,"21+22","19+20","23+24","13+14+15+16+17+18","7 + 8 + 9 + 10 + 11 + 12","1 + 2 + 3 + 4 + 5 + 6","25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36",14:00,14:20
15/10/11 14:20,15/10/11 14:40,"23+24","21+22","19+20","13+14+15+16+17+18","7 + 8 + 9 + 10 + 11 + 12","1 + 2 + 3 + 4 + 5 + 6","25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36",14:20,14:40
15/10/11 14:40,15/10/11 15:00,"25+26","29+30","27+28","31+32+33+34+35+36","13 + 14 + 15+ 16 + 17 + 18","19 + 20 + 21 + 22 + 23 + 24","1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12",14:40,15:00
15/10/11 15:00,15/10/11 15:20,"27+28","25+26","29+30","31+32+33+34+35+36","13 + 14 + 15+ 16 + 17 + 18","19 + 20 + 21 + 22 + 23 + 24","1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12",15:00,15:20
15/10/11 15:20,15/10/11 15:40,"29+30","27+28","25+26","31+32+33+34+35+36","13 + 14 + 15+ 16 + 17 + 18","19 + 20 + 21 + 22 + 23 + 24","1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12",15:20,15:40
15/10/11 15:40,15/10/11 16:00,"31+32","35+36","33+34","25+26+27+28+29+30 ","19 + 20 + 21 + 22 + 23 + 24","13 + 14 + 15+ 16 + 17 + 18","1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12",15:40,16:00
15/10/11 16:00,15/10/11 16:20,"33+34","31+32","35+36","25+26+27+28+29+30 ","19 + 20 + 21 + 22 + 23 + 24","13 + 14 + 15+ 16 + 17 + 18","1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12",16:00,16:20
15/10/11 16:20,15/10/11 16:40,"35+36","33+34","31+32","25+26+27+28+29+30 ","19 + 20 + 21 + 22 + 23 + 24","13 + 14 + 15+ 16 + 17 + 18","1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12",16:20,16:40
15/10/11 16:40,15/10/11 17:40,"Avondeten",,,,,,,16:40,17:40
15/10/11 17:40,15/10/11 18:30,"Spullen Klaarleggen",,,,,,,17:40,18:30
15/10/11 18:30,15/10/11 19:00,"Gezamenlijk spel",,,,,,,18:30,19:00
15/10/11 19:00,15/10/11 22:00,"Avondspel",,,,,,,19:00,22:00
15/10/11 22:00,15/10/11 22:30,"Wassen, plassen en naar bed",,,,,,,22:00,22:30
15/10/11 22:30,16/10/11 7:00,"Slapen",,,,,,,22:30,7:00
,,,,,,,,,,
,,,,,,,,,,
"Kleine speltakken Zondag",,,,,,,,,,
,,"Jota","Radio","Joti",1,2,3,,,
16/10/11 7:00,16/10/11 8:00,"Opstaan en spullen opruimen",,,,,,7:00,8:00,
16/10/11 8:00,16/10/11 8:40,"Ontbijt",,,,,,8:00,8:40,
16/10/11 8:40,16/10/11 9:40,"Tocht van HIER naar DAAR",,,,,,8:40,9:40,
16/10/11 9:40,16/10/11 10:00,"2 + 14","1 + 13","9+10+21+22","11+12+23+24","3+4+15+16","5+6+7+8+17+18+19+20",9:40,10:00,
16/10/11 10:00,16/10/11 10:20,"1 + 13","2 + 14","9+10+21+22","11+12+23+24","3+4+15+16","5+6+7+8+17+18+19+20",10:00,10:20,
16/10/11 10:20,16/10/11 10:40,"4 + 16","3 + 15","11+12+23+24","1+2+13+14","9+10+21+22","5+6+7+8+17+18+19+20",10:20,10:40,
16/10/11 10:40,16/10/11 11:00,"3 + 15","4 + 16","11+12+23+24","1+2+13+14","9+10+21+22","5+6+7+8+17+18+19+20",10:40,11:00,
16/10/11 11:00,16/10/11 11:20,"6 + 18","5 + 17","1+2+13+14","3+4+15+16","7+8+19+20","9+10+11+12+21+22+23+24",11:00,11:20,
16/10/11 11:20,16/10/11 11:40,"5 + 17","6 + 18","1+2+13+14","3+4+15+16","7+8+19+20","9+10+11+12+21+22+23+24",11:20,11:40,
16/10/11 11:40,16/10/11 12:00,"8 + 20","7 + 19","3+4+15+16","5+6+17+18","1+2+13+14","9+10+11+12+21+22+23+24",11:40,12:00,
16/10/11 12:00,16/10/11 12:20,"7 + 19","8 + 20","3+4+15+16","5+6+17+18","1+2+13+14","9+10+11+12+21+22+23+24",12:00,12:20,
16/10/11 12:20,16/10/11 13:00,"Lunch",,,,,,12:20,13:00,
16/10/11 13:00,16/10/11 13:20,"10 + 22","9 + 21","5+6+17+18","7+8+19+20","11+12+23+24","1+2+3+4+13+14+15+16",13:00,13:20,
16/10/11 13:20,16/10/11 13:40,"9 + 21","10 + 22","5+6+17+18","7+8+19+20","11+12+23+24","1+2+3+4+13+14+15+16",13:20,13:40,
16/10/11 13:40,16/10/11 14:00,"12 + 24","11 + 23","7+8+19+20","9+10+21+22","5+6+17+18","1+2+3+4+13+14+15+16",13:40,14:00,
16/10/11 14:00,16/10/11 14:20,"11 + 23","12 + 24","7+8+19+20","9+10+21+22","5+6+17+18","1+2+3+4+13+14+15+16",14:00,14:20,
16/10/11 14:20,16/10/11 15:20,"Tocht van DAAR naar HIER",,,,,,14:20,15:20,
16/10/11 15:20,16/10/11 15:30,"Sluiting",,,,,,15:20,15:30,
